Character,Relation,Concept
Ackers,linkedTo,Unknown Concept
Al_Jarry,linkedTo,Unknown Concept
Amanda_Werner,linkedTo,Unknown Concept
Ann,strugglesWith,Unknown Concept
Barbour,linkedTo,Unknown Concept
Barbour,contextualizes,Unknown Concept
Baty,strugglesWith,Unknown Concept
Baty,contextualizes,Unknown Concept
Boneli_ReflexArc_Test,linkedTo,Unknown Concept
Booster,linkedTo,Unknown Concept
Bryant,linkedTo,Unknown Concept
Bryant,strugglesWith,Unknown Concept
Buster,linkedTo,Unknown Concept
Buster_Friendly,linkedTo,Unknown Concept
Canada,contextualizes,Unknown Concept
Colorado,contextualizes,Unknown Concept
Cora_Mercer,linkedTo,Unknown Concept
Daly_City,contextualizes,Unknown Concept
Dave,strugglesWith,Unknown Concept
Dave,linkedTo,Unknown Concept
Dave,exemplifies,Unknown Concept
Dave_Holden,linkedTo,Unknown Concept
Dave_Holdens,linkedTo,Unknown Concept
Deckard,strugglesWith,Unknown Concept
Deckard,linkedTo,Unknown Concept
Don_Giovanni,strugglesWith,Unknown Concept
Don_Giovanni,linkedTo,Unknown Concept
Donna_Anna,linkedTo,Unknown Concept
Drop,linkedTo,Unknown Concept
Earth,contextualizes,Unknown Concept
East_Harmony,contextualizes,Unknown Concept
Ed,linkedTo,Unknown Concept
Ed_Smith,linkedTo,Unknown Concept
Eldon,strugglesWith,Unknown Concept
Eldon,linkedTo,Unknown Concept
Eldon_Rosen,strugglesWith,Unknown Concept
Eldon_Rosen,linkedTo,Unknown Concept
Elisabeth_Schwarzkopf,linkedTo,Unknown Concept
Frank,linkedTo,Unknown Concept
Funny,linkedTo,Unknown Concept
Garland,contextualizes,Unknown Concept
Garland,linkedTo,Unknown Concept
Garland,strugglesWith,Unknown Concept
Gitchel,linkedTo,Unknown Concept
Goodby,linkedTo,Unknown Concept
Graveson,linkedTo,Unknown Concept
Groucho,contextualizes,Unknown Concept
Groucho,linkedTo,Unknown Concept
Hannibal_Sloat,linkedTo,Unknown Concept
Hannibal_Sssloat,linkedTo,Unknown Concept
Harry,strugglesWith,Unknown Concept
Harry_Bryant,linkedTo,Unknown Concept
