Character,Concept,Mentions
Isidore,httpexampleorgposthumanPosthumanism,1
Isidore,httpexampleorgposthumanPosthuman Ethics,2
Isidore,httpexampleorgposthumanCyborg Theory,4
Isidore,httpexampleorgposthumanAnimal Ethics,2
Isidore,httpexampleorgposthumanPostAnthropocentrism,2
Isidore,mercerism,1
Isidore,httpexampleorgposthumanCybernetic Enhancement,2
Isidore,httpexampleorgposthumanFeminist Ethics,2
Isidore,httpexampleorgposthumanCritical Posthumanism,1
Deckard,httpexampleorgposthumanPosthuman Ethics,2
Deckard,httpexampleorgposthumanCyborg Theory,3
Deckard,httpexampleorgposthumanCybernetic Enhancement,2
Deckard,httpexampleorgposthumanPosthumanism,1
Deckard,httpexampleorgposthumanCritical Posthumanism,1
Deckard,httpexampleorgposthumanFeminist Ethics,2
Deckard,httpexampleorgposthumanAnimal Ethics,2
Rachael,httpexampleorgposthumanCyborg Theory,10
Rachael,httpexampleorgposthumanAnimal Ethics,3
Rachael,httpexampleorgposthumanCybernetic Enhancement,3
Rachael,penfield mood organ,1
Rachael,httpexampleorgposthumanPosthumanism,1
Rachael,httpexampleorgposthumanCritical Posthumanism,1
Rachael,httpexampleorgposthumanPosthuman Ethics,2
