Character,Relation,Concept,Count
Deckard,strugglesWith,httpexampleorgposthumanFeminist Ethics,1
Deckard,linkedTo,httpexampleorgposthumanPosthumanism,1
Deckard,linkedTo,httpexampleorgposthumanCybernetic Enhancement,1
Deckard,strugglesWith,httpexampleorgposthumanAnimal Ethics,1
Deckard,strugglesWith,httpexampleorgposthumanCyborg Theory,1
Deckard,questions,httpexampleorgposthumanFeminist Ethics,1
Deckard,linkedTo,httpexampleorgposthumanPosthuman Ethics,1
Deckard,questions,httpexampleorgposthumanAnimal Ethics,1
Deckard,questions,httpexampleorgposthumanCritical Posthumanism,1
Deckard,questions,httpexampleorgposthumanCyborg Theory,1
Deckard,linkedTo,httpexampleorgposthumanCyborg Theory,1
Deckard,strugglesWith,httpexampleorgposthumanPosthuman Ethics,1
Deckard,questions,httpexampleorgposthumanCybernetic Enhancement,1
Rachael,strugglesWith,httpexampleorgposthumanAnimal Ethics,1
Rachael,linkedTo,httpexampleorgposthumanPosthuman Ethics,2
Rachael,questions,httpexampleorgposthumanCyborg Theory,3
Rachael,linkedTo,httpexampleorgposthumanCyborg Theory,4
Rachael,questions,httpexampleorgposthumanCybernetic Enhancement,1
Rachael,questions,httpexampleorgposthumanAnimal Ethics,2
Rachael,strugglesWith,httpexampleorgposthumanCybernetic Enhancement,1
Rachael,linkedTo,httpexampleorgposthumanPosthumanism,1
Rachael,linkedTo,httpexampleorgposthumanCybernetic Enhancement,1
Rachael,strugglesWith,httpexampleorgposthumanCyborg Theory,3
Rachael,questions,httpexampleorgposthumanCritical Posthumanism,1
Luba_Luft,strugglesWith,httpexampleorgposthumanPostAnthropocentrism,1
Luba_Luft,linkedTo,httpexampleorgposthumanCyborg Theory,2
Luba_Luft,strugglesWith,httpexampleorgposthumanAnimal Ethics,1
Luba_Luft,strugglesWith,httpexampleorgposthumanCyborg Theory,1
Luba_Luft,questions,httpexampleorgposthumanFeminist Ethics,1
Luba_Luft,questions,httpexampleorgposthumanCyborg Theory,2
Luba_Luft,linkedTo,httpexampleorgposthumanPosthuman Ethics,1
Luba_Luft,linkedTo,httpexampleorgposthumanPostAnthropocentrism,1
Luba_Luft,questions,httpexampleorgposthumanAnimal Ethics,1
Isidore,questions,httpexampleorgposthumanFeminist Ethics,1
Isidore,linkedTo,httpexampleorgposthumanPosthuman Ethics,1
Isidore,questions,httpexampleorgposthumanAnimal Ethics,1
Isidore,questions,httpexampleorgposthumanCyborg Theory,1
Isidore,linkedTo,httpexampleorgposthumanCyborg Theory,1
