Character,Relation,Concept,Count
Ackers,linkedTo,CriticismPlaceholder,1
Ackers,questions,Cyborg_Theory,1
Al_Jarry,linkedTo,CriticismPlaceholder,6
Al_Jarry,questions,Cybernetic_Enhancement,3
Al_Jarry,questions,Critical_Posthumanism,2
Al_Jarry,questions,Posthuman_Ethics,1
Amanda_Werner,linkedTo,CriticismPlaceholder,4
Amanda_Werner,questions,Cyborg_Theory,4
Ann,strugglesWith,Animal_Ethics,1
Barbour,linkedTo,CriticismPlaceholder,1
Barbour,questions,Animal_Ethics,1
Baty,strugglesWith,Cyborg_Theory,2
Boneli_ReflexArc_Test,linkedTo,CriticismPlaceholder,1
Boneli_ReflexArc_Test,questions,Animal_Ethics,1
Booster,linkedTo,CriticismPlaceholder,1
Booster,questions,Cyborg_Theory,1
Bryant,strugglesWith,Cyborg_Theory,1
Bryant,linkedTo,CriticismPlaceholder,3
Bryant,questions,Cyborg_Theory,1
Bryant,questions,Animal_Ethics,1
Bryant,questions,Feminist_Ethics,1
Buster,linkedTo,CriticismPlaceholder,7
Buster,questions,Cyborg_Theory,5
Buster,questions,Feminist_Ethics,1
Buster,questions,Critical_Posthumanism,1
Buster_Friendly,linkedTo,CriticismPlaceholder,4
Buster_Friendly,questions,Cyborg_Theory,3
Buster_Friendly,questions,Critical_Posthumanism,1
Cora_Mercer,linkedTo,CriticismPlaceholder,1
Cora_Mercer,questions,Animal_Ethics,1
Dave,strugglesWith,Cyborg_Theory,5
Dave,linkedTo,CriticismPlaceholder,14
Dave,questions,Cyborg_Theory,12
Dave,questions,Cybernetic_Enhancement,2
Dave_Holden,linkedTo,CriticismPlaceholder,5
Dave_Holden,questions,Cyborg_Theory,3
Dave_Holden,questions,Animal_Ethics,2
Dave_Holdens,linkedTo,CriticismPlaceholder,2
Dave_Holdens,questions,Cyborg_Theory,2
Deckard,strugglesWith,Cyborg_Theory,2
Deckard,strugglesWith,Posthuman_Ethics,1
Deckard,strugglesWith,Feminist_Ethics,1
Deckard,strugglesWith,Animal_Ethics,1
Deckard,linkedTo,CriticismPlaceholder,14
Deckard,questions,Animal_Ethics,6
Deckard,questions,Feminist_Ethics,3
Deckard,questions,Cyborg_Theory,3
Deckard,questions,Cybernetic_Enhancement,1
Deckard,questions,Critical_Posthumanism,1
Don_Giovanni,strugglesWith,Cyborg_Theory,1
Don_Giovanni,linkedTo,CriticismPlaceholder,1
Don_Giovanni,questions,Cyborg_Theory,1
Donna_Anna,linkedTo,CriticismPlaceholder,1
Donna_Anna,questions,Cyborg_Theory,1
Drop,linkedTo,CriticismPlaceholder,1
Drop,questions,Critical_Posthumanism,1
Ed,linkedTo,CriticismPlaceholder,1
Ed,questions,Animal_Ethics,1
Ed_Smith,linkedTo,CriticismPlaceholder,1
Ed_Smith,questions,Animal_Ethics,1
Eldon,strugglesWith,Cyborg_Theory,1
Eldon,linkedTo,CriticismPlaceholder,2
Eldon,questions,Cyborg_Theory,2
Eldon_Rosen,strugglesWith,Cyborg_Theory,3
Eldon_Rosen,strugglesWith,Animal_Ethics,2
Eldon_Rosen,strugglesWith,Posthuman_Ethics,1
Eldon_Rosen,linkedTo,CriticismPlaceholder,3
Eldon_Rosen,questions,Cyborg_Theory,2
Eldon_Rosen,questions,Animal_Ethics,1
Elisabeth_Schwarzkopf,linkedTo,CriticismPlaceholder,1
Elisabeth_Schwarzkopf,questions,Cyborg_Theory,1
Frank,linkedTo,CriticismPlaceholder,1
Frank,questions,Animal_Ethics,1
Friendly,linkedTo,CriticismPlaceholder,1
Friendly,questions,Cyborg_Theory,1
Funny,linkedTo,CriticismPlaceholder,1
Funny,questions,Animal_Ethics,1
Garland,strugglesWith,Cyborg_Theory,5
Garland,strugglesWith,Posthuman_Ethics,1
Garland,strugglesWith,Animal_Ethics,1
Garland,strugglesWith,PostAnthropocentrism,1
Garland,linkedTo,CriticismPlaceholder,3
Garland,questions,Cyborg_Theory,1
Garland,questions,Animal_Ethics,1
Garland,questions,Feminist_Ethics,1
George_Gleason,linkedTo,CriticismPlaceholder,1
George_Gleason,questions,Critical_Posthumanism,1
Gitchel,linkedTo,CriticismPlaceholder,1
Gitchel,questions,Cyborg_Theory,1
Goodby,linkedTo,CriticismPlaceholder,1
Goodby,questions,Cyborg_Theory,1
Graveson,linkedTo,CriticismPlaceholder,1
Graveson,questions,Animal_Ethics,1
Groucho,linkedTo,CriticismPlaceholder,2
Groucho,questions,Animal_Ethics,2
Hannibal_Sloat,linkedTo,CriticismPlaceholder,3
Hannibal_Sloat,questions,Animal_Ethics,2
Hannibal_Sloat,questions,Cyborg_Theory,1
Hannibal_Sssloat,linkedTo,CriticismPlaceholder,1
Hannibal_Sssloat,questions,Cyborg_Theory,1
Harry,strugglesWith,Cybernetic_Enhancement,1
Harry_Bryant,linkedTo,CriticismPlaceholder,1
Harry_Bryant,questions,Cyborg_Theory,1
Harry_Bryants,strugglesWith,Cyborg_Theory,1
Hasking,linkedTo,CriticismPlaceholder,1
Hasking,questions,Feminist_Ethics,1
Hitler,linkedTo,CriticismPlaceholder,1
Hitler,questions,Feminist_Ethics,1
Ho_ho,linkedTo,CriticismPlaceholder,1
Ho_ho,questions,Cyborg_Theory,1
Holden,linkedTo,CriticismPlaceholder,1
Holden,questions,Cyborg_Theory,1
Horace,linkedTo,CriticismPlaceholder,6
Horace,questions,Animal_Ethics,6
Horst,linkedTo,CriticismPlaceholder,1
Horst,questions,PostAnthropocentrism,1
Horst_Hartman,linkedTo,CriticismPlaceholder,1
Horst_Hartman,questions,PostAnthropocentrism,1
However,linkedTo,CriticismPlaceholder,1
However,questions,Cyborg_Theory,1
Irmgard_Baty,linkedTo,CriticismPlaceholder,2
Irmgard_Baty,questions,Feminist_Ethics,1
Irmgard_Baty,questions,Cyborg_Theory,1
Isidore,linkedTo,CriticismPlaceholder,4
Isidore,questions,Animal_Ethics,2
Isidore,questions,Cyborg_Theory,1
Isidore,questions,Feminist_Ethics,1
JR,linkedTo,CriticismPlaceholder,2
JR,questions,Feminist_Ethics,1
JR,questions,Critical_Posthumanism,1
J_R_Isidore,linkedTo,CriticismPlaceholder,2
J_R_Isidore,questions,Feminist_Ethics,1
J_R_Isidore,questions,PostAnthropocentrism,1
Jarry,linkedTo,CriticismPlaceholder,1
Jarry,questions,Cybernetic_Enhancement,1
Jesus,linkedTo,CriticismPlaceholder,2
Jesus,questions,Cyborg_Theory,1
Jesus,questions,Animal_Ethics,1
John_Isidore,linkedTo,CriticismPlaceholder,7
John_Isidore,questions,Cyborg_Theory,3
John_Isidore,questions,Animal_Ethics,2
John_Isidore,questions,PostAnthropocentrism,1
John_Isidore,questions,Critical_Posthumanism,1
Judy,linkedTo,CriticismPlaceholder,1
Judy,questions,Animal_Ethics,1
Keerist,linkedTo,CriticismPlaceholder,1
Keerist,questions,Cyborg_Theory,1
Klugman,linkedTo,CriticismPlaceholder,4
Klugman,questions,PostAnthropocentrism,4
Lisa_Della_Casa,linkedTo,CriticismPlaceholder,1
Lisa_Della_Casa,questions,Cyborg_Theory,1
Lotte_Lehmann,linkedTo,CriticismPlaceholder,1
Lotte_Lehmann,questions,Cyborg_Theory,1
Luba_Luft,strugglesWith,Cyborg_Theory,6
Luba_Luft,strugglesWith,Animal_Ethics,2
Luba_Luft,strugglesWith,PostAnthropocentrism,1
Luba_Luft,linkedTo,CriticismPlaceholder,9
Luba_Luft,questions,Cyborg_Theory,5
Luba_Luft,questions,Animal_Ethics,3
Luba_Luft,questions,Feminist_Ethics,1
Luba_Lufts,linkedTo,CriticismPlaceholder,1
Luba_Lufts,questions,Cyborg_Theory,1
Luft,linkedTo,CriticismPlaceholder,1
Luft,questions,Cyborg_Theory,1
Lurie_Kampff,strugglesWith,Cybernetic_Enhancement,1
Maggie_Klugman,linkedTo,CriticismPlaceholder,1
Maggie_Klugman,questions,PostAnthropocentrism,1
Mann,linkedTo,CriticismPlaceholder,1
Mann,questions,Posthuman_Ethics,1
Manx,linkedTo,CriticismPlaceholder,1
Manx,questions,Animal_Ethics,1
Mark,linkedTo,CriticismPlaceholder,1
Mark,questions,Feminist_Ethics,1
Marsten,strugglesWith,Cyborg_Theory,1
Max_Polokov,linkedTo,CriticismPlaceholder,2
Max_Polokov,questions,Cyborg_Theory,1
Max_Polokov,questions,Feminist_Ethics,1
Mercer,strugglesWith,Cyborg_Theory,6
Mercer,linkedTo,CriticismPlaceholder,29
Mercer,questions,Cyborg_Theory,12
Mercer,questions,Animal_Ethics,6
Mercer,questions,Critical_Posthumanism,4
Mercer,questions,Posthuman_Ethics,4
