Character,Relation,Concept,Count
Ackers,linkedTo,httpexampleorgposthumanCyborg Theory,1
Ackers,questions,httpexampleorgposthumanCyborg Theory,1
Al_Jarry,linkedTo,httpexampleorgposthumanCybernetic Enhancement,1
Al_Jarry,linkedTo,httpexampleorgposthumanPosthuman Ethics,1
Al_Jarry,linkedTo,httpexampleorgposthumanPosthumanism,1
Amanda_Werner,linkedTo,httpexampleorgposthumanCyborg Theory,1
Amanda_Werner,questions,httpexampleorgposthumanCyborg Theory,1
Ann,linkedTo,httpexampleorgposthumanPosthuman Ethics,1
Ann,strugglesWith,httpexampleorgposthumanAnimal Ethics,1
Barbour,linkedTo,httpexampleorgposthumanPosthuman Ethics,1
Barbour,questions,httpexampleorgposthumanAnimal Ethics,1
Baty,linkedTo,httpexampleorgposthumanCyborg Theory,1
Baty,strugglesWith,httpexampleorgposthumanCyborg Theory,1
Boneli_ReflexArc_Test,linkedTo,httpexampleorgposthumanPosthuman Ethics,1
Boneli_ReflexArc_Test,questions,httpexampleorgposthumanAnimal Ethics,1
Booster,linkedTo,httpexampleorgposthumanCyborg Theory,1
Booster,questions,httpexampleorgposthumanCyborg Theory,1
Bryant,linkedTo,httpexampleorgposthumanCyborg Theory,1
Bryant,linkedTo,httpexampleorgposthumanPosthuman Ethics,1
Bryant,questions,httpexampleorgposthumanAnimal Ethics,1
Buster,linkedTo,httpexampleorgposthumanPosthuman Ethics,1
Buster,linkedTo,httpexampleorgposthumanPosthumanism,1
Buster,linkedTo,httpexampleorgposthumanCyborg Theory,1
Buster_Friendly,linkedTo,httpexampleorgposthumanCyborg Theory,1
Buster_Friendly,linkedTo,httpexampleorgposthumanPosthumanism,1
Buster_Friendly,questions,httpexampleorgposthumanCritical Posthumanism,1
Cora_Mercer,linkedTo,httpexampleorgposthumanPosthuman Ethics,1
Cora_Mercer,questions,httpexampleorgposthumanAnimal Ethics,1
Dave,linkedTo,httpexampleorgposthumanCybernetic Enhancement,1
Dave,linkedTo,httpexampleorgposthumanCyborg Theory,1
Dave,questions,httpexampleorgposthumanCybernetic Enhancement,1
Dave_Holden,linkedTo,httpexampleorgposthumanCyborg Theory,1
Dave_Holden,linkedTo,httpexampleorgposthumanPosthuman Ethics,1
Dave_Holden,questions,httpexampleorgposthumanAnimal Ethics,1
